replication,seed,heuristic_undisrupted_cost,heuristic_disrupted_cost,heuristic_tcd,llm_undisrupted_cost,llm_disrupted_cost,llm_tcd,delta,winner
1,1043,171417.000000,251389.000000,79972.000000,171417.000000,178157.000000,6740.000000,-73232.000000,LLM
2,1044,122565.000000,215369.000000,92804.000000,122565.000000,135119.200000,12554.200000,-80249.800000,LLM
3,1045,132856.000000,213008.000000,80152.000000,132856.000000,140026.500000,7170.500000,-72981.500000,LLM
4,1046,123926.000000,203658.000000,79732.000000,123926.000000,132863.500000,8937.500000,-70794.500000,LLM
5,1047,134870.000000,215142.000000,80272.000000,134870.000000,143110.400000,8240.400000,-72031.600000,LLM
6,1048,119402.000000,199258.000000,79856.000000,119402.000000,129980.700000,10578.700000,-69277.300000,LLM
7,1049,122696.000000,202728.000000,80032.000000,122696.000000,132615.300000,9919.300000,-70112.700000,LLM
8,1050,143145.000000,223117.000000,79972.000000,143145.000000,150050.200000,6905.200000,-73066.800000,LLM
9,1051,145029.000000,250773.000000,105744.000000,145109.000000,152255.500000,7146.500000,-98597.500000,LLM
10,1052,147504.000000,227596.000000,80092.000000,147504.000000,154244.000000,6740.000000,-73352.000000,LLM
11,1053,136394.000000,216306.000000,79912.000000,136394.000000,145761.500000,9367.500000,-70544.500000,LLM
12,1054,134031.000000,213883.000000,79852.000000,134031.000000,143097.800000,9066.800000,-70785.200000,LLM
13,1055,145541.000000,225693.000000,80152.000000,145541.000000,153072.400000,7531.400000,-72620.600000,LLM
14,1056,140677.000000,246481.000000,105804.000000,140677.000000,147653.500000,6976.500000,-98827.500000,LLM
15,1057,130770.000000,211282.000000,80512.000000,130770.000000,139661.000000,8891.000000,-71621.000000,LLM
16,1058,137639.000000,217611.000000,79972.000000,137639.000000,145936.600000,8297.600000,-71674.400000,LLM
17,1059,141516.000000,222028.000000,80512.000000,141516.000000,149223.200000,7707.200000,-72804.800000,LLM
18,1060,133159.000000,213011.000000,79852.000000,133239.000000,140160.200000,6921.200000,-72930.800000,LLM
19,1061,143737.000000,223469.000000,79732.000000,143737.000000,150593.500000,6856.500000,-72875.500000,LLM
20,1062,148912.000000,228644.000000,79732.000000,148992.000000,155349.800000,6357.800000,-73374.200000,LLM
21,1063,133457.000000,213429.000000,79972.000000,133457.000000,141964.900000,8507.900000,-71464.100000,LLM
22,1064,137191.000000,209903.000000,72712.000000,137191.000000,144996.100000,7805.100000,-64906.900000,LLM
23,1065,140241.000000,220213.000000,79972.000000,140241.000000,148234.300000,7993.300000,-71978.700000,LLM
24,1066,147925.000000,253721.000000,105796.000000,147925.000000,154991.400000,7066.400000,-98729.600000,LLM
25,1067,145710.000000,225446.000000,79736.000000,145710.000000,152210.000000,6500.000000,-73236.000000,LLM
26,1068,134043.000000,214067.000000,80024.000000,134043.000000,142001.300000,7958.300000,-72065.700000,LLM
27,1069,143386.000000,236070.000000,92684.000000,143386.000000,154366.000000,10980.000000,-81704.000000,LLM
28,1070,133153.000000,213669.000000,80516.000000,133153.000000,140500.200000,7347.200000,-73168.800000,LLM
29,1071,135994.000000,216266.000000,80272.000000,135994.000000,144775.600000,8781.600000,-71490.400000,LLM
30,1072,148311.000000,227803.000000,79492.000000,148311.000000,154602.000000,6291.000000,-73201.000000,LLM
31,1073,137924.000000,218016.000000,80092.000000,137924.000000,146052.800000,8128.800000,-71963.200000,LLM
32,1074,138218.000000,218070.000000,79852.000000,138218.000000,146398.200000,8180.200000,-71671.800000,LLM
33,1075,119568.000000,199840.000000,80272.000000,119568.000000,130117.900000,10549.900000,-69722.100000,LLM
34,1076,158820.000000,238852.000000,80032.000000,158820.000000,165730.500000,6910.500000,-73121.500000,LLM
35,1077,141440.000000,221412.000000,79972.000000,141440.000000,149810.600000,8370.600000,-71601.400000,LLM
36,1078,149859.000000,222511.000000,72652.000000,149859.000000,157256.200000,7397.200000,-65254.800000,LLM
37,1079,131639.000000,223663.000000,92024.000000,131639.000000,142096.300000,10457.300000,-81566.700000,LLM
38,1080,133146.000000,238890.000000,105744.000000,133146.000000,141410.300000,8264.300000,-97479.700000,LLM
39,1081,141155.000000,220587.000000,79432.000000,141235.000000,148199.100000,6964.100000,-72467.900000,LLM
40,1082,150383.000000,230527.000000,80144.000000,150383.000000,157123.000000,6740.000000,-73404.000000,LLM
41,1083,131117.000000,237165.000000,106048.000000,131117.000000,139488.500000,8371.500000,-97676.500000,LLM
42,1084,129184.000000,209160.000000,79976.000000,129184.000000,137974.900000,8790.900000,-71185.100000,LLM
43,1085,147773.000000,228105.000000,80332.000000,147773.000000,154335.000000,6562.000000,-73770.000000,LLM
44,1086,125976.000000,205468.000000,79492.000000,125976.000000,134322.300000,8346.300000,-71145.700000,LLM
45,1087,149845.000000,229577.000000,79732.000000,149845.000000,156431.800000,6586.800000,-73145.200000,LLM
46,1088,142976.000000,222828.000000,79852.000000,142976.000000,149387.900000,6411.900000,-73440.100000,LLM
47,1089,143751.000000,223483.000000,79732.000000,143751.000000,150276.700000,6525.700000,-73206.300000,LLM
48,1090,146346.000000,226378.000000,80032.000000,146346.000000,153447.400000,7101.400000,-72930.600000,LLM
49,1091,116785.000000,204609.000000,87824.000000,116785.000000,127296.000000,10511.000000,-77313.000000,LLM
50,1092,130891.000000,210743.000000,79852.000000,130891.000000,138562.800000,7671.800000,-72180.200000,LLM
51,1093,127751.000000,207843.000000,80092.000000,127751.000000,136600.800000,8849.800000,-71242.200000,LLM
52,1094,124207.000000,203699.000000,79492.000000,124207.000000,133170.200000,8963.200000,-70528.800000,LLM
53,1095,135359.000000,214971.000000,79612.000000,135359.000000,143275.700000,7916.700000,-71695.300000,LLM
54,1096,146399.000000,241731.000000,95332.000000,146399.000000,154431.700000,8032.700000,-87299.300000,LLM
55,1097,134450.000000,214422.000000,79972.000000,134450.000000,142700.600000,8250.600000,-71721.400000,LLM
56,1098,136949.000000,216861.000000,79912.000000,136949.000000,145058.600000,8109.600000,-71802.400000,LLM
57,1099,129482.000000,210114.000000,80632.000000,129482.000000,138481.900000,8999.900000,-71632.100000,LLM
58,1100,150362.000000,231338.000000,80976.000000,150362.000000,156687.100000,6325.100000,-74650.900000,LLM
59,1101,131117.000000,211029.000000,79912.000000,131117.000000,141086.800000,9969.800000,-69942.200000,LLM
60,1102,130245.000000,236529.000000,106284.000000,130245.000000,139897.200000,9652.200000,-96631.800000,LLM
61,1103,133069.000000,205661.000000,72592.000000,133069.000000,142315.600000,9246.600000,-63345.400000,LLM
62,1104,139766.000000,219618.000000,79852.000000,139766.000000,147530.800000,7764.800000,-72087.200000,LLM
63,1105,147767.000000,227683.000000,79916.000000,147767.000000,154970.700000,7203.700000,-72712.300000,LLM
64,1106,141210.000000,221242.000000,80032.000000,141210.000000,149876.900000,8666.900000,-71365.100000,LLM
65,1107,149586.000000,222118.000000,72532.000000,149586.000000,157142.200000,7556.200000,-64975.800000,LLM
66,1108,120771.000000,212675.000000,91904.000000,120771.000000,132787.600000,12016.600000,-79887.400000,LLM
67,1109,158014.000000,230374.000000,72360.000000,158094.000000,164863.700000,6769.700000,-65590.300000,LLM
68,1110,145769.000000,225861.000000,80092.000000,145769.000000,153115.300000,7346.300000,-72745.700000,LLM
69,1111,129007.000000,209399.000000,80392.000000,129007.000000,138066.700000,9059.700000,-71332.300000,LLM
70,1112,115714.000000,195506.000000,79792.000000,115714.000000,126532.300000,10818.300000,-68973.700000,LLM
71,1113,127933.000000,208445.000000,80512.000000,127933.000000,136330.600000,8397.600000,-72114.400000,LLM
72,1114,138315.000000,236859.000000,98544.000000,138315.000000,147773.700000,9458.700000,-89085.300000,LLM
73,1115,131413.000000,210785.000000,79372.000000,131413.000000,139750.900000,8337.900000,-71034.100000,LLM
74,1116,126787.000000,215631.000000,88844.000000,126787.000000,135364.000000,8577.000000,-80267.000000,LLM
75,1117,142461.000000,237493.000000,95032.000000,142461.000000,151036.500000,8575.500000,-86456.500000,LLM
76,1118,156203.000000,244807.000000,88604.000000,156203.000000,162469.200000,6266.200000,-82337.800000,LLM
77,1119,134162.000000,213534.000000,79372.000000,134242.000000,142413.100000,8171.100000,-71200.900000,LLM
78,1120,134922.000000,215074.000000,80152.000000,134922.000000,143138.500000,8216.500000,-71935.500000,LLM
79,1121,126335.000000,206071.000000,79736.000000,126335.000000,135079.400000,8744.400000,-70991.600000,LLM
80,1122,158923.000000,238775.000000,79852.000000,158923.000000,165432.300000,6509.300000,-73342.700000,LLM
81,1123,126739.000000,206951.000000,80212.000000,126739.000000,135988.700000,9249.700000,-70962.300000,LLM
82,1124,137772.000000,217684.000000,79912.000000,137772.000000,144403.100000,6631.100000,-73280.900000,LLM
83,1125,146822.000000,226794.000000,79972.000000,146822.000000,154099.200000,7277.200000,-72694.800000,LLM
84,1126,143358.000000,231542.000000,88184.000000,143358.000000,150391.000000,7033.000000,-81151.000000,LLM
85,1127,136877.000000,216489.000000,79612.000000,136877.000000,144718.000000,7841.000000,-71771.000000,LLM
86,1128,131530.000000,211446.000000,79916.000000,131530.000000,139774.000000,8244.000000,-71672.000000,LLM
87,1129,130111.000000,217935.000000,87824.000000,130111.000000,138117.200000,8006.200000,-79817.800000,LLM
88,1130,140049.000000,219781.000000,79732.000000,140049.000000,147357.200000,7308.200000,-72423.800000,LLM
89,1131,142561.000000,222293.000000,79732.000000,142561.000000,149962.200000,7401.200000,-72330.800000,LLM
90,1132,141019.000000,229203.000000,88184.000000,141019.000000,148645.600000,7626.600000,-80557.400000,LLM
91,1133,137307.000000,217279.000000,79972.000000,137307.000000,144702.000000,7395.000000,-72577.000000,LLM
92,1134,151158.000000,230770.000000,79612.000000,151158.000000,157674.400000,6516.400000,-73095.600000,LLM
93,1135,140322.000000,220294.000000,79972.000000,140322.000000,147846.300000,7524.300000,-72447.700000,LLM
94,1136,135816.000000,215668.000000,79852.000000,135816.000000,144262.800000,8446.800000,-71405.200000,LLM
95,1137,131021.000000,210993.000000,79972.000000,131021.000000,139348.500000,8327.500000,-71644.500000,LLM
96,1138,138209.000000,217641.000000,79432.000000,138209.000000,146553.300000,8344.300000,-71087.700000,LLM
97,1139,124631.000000,204663.000000,80032.000000,124631.000000,133876.700000,9245.700000,-70786.300000,LLM
98,1140,127076.000000,206808.000000,79732.000000,127076.000000,136577.700000,9501.700000,-70230.300000,LLM
99,1141,126428.000000,206100.000000,79672.000000,126428.000000,134902.500000,8474.500000,-71197.500000,LLM
100,1142,135923.000000,215655.000000,79732.000000,135923.000000,144692.200000,8769.200000,-70962.800000,LLM
