replication,seed,heuristic_undisrupted_cost,heuristic_disrupted_cost,heuristic_tcd,llm_undisrupted_cost,llm_disrupted_cost,llm_tcd,delta,winner
1,1043,171417.000000,180617.000000,9200.000000,171417.000000,174197.000000,2780.000000,-6420.000000,LLM
2,1044,122565.000000,132245.000000,9680.000000,122565.000000,125516.700000,2951.700000,-6728.300000,LLM
3,1045,132856.000000,146096.000000,13240.000000,132856.000000,136088.700000,3232.700000,-10007.300000,LLM
4,1046,123926.000000,131226.000000,7300.000000,123926.000000,126306.000000,2380.000000,-4920.000000,LLM
5,1047,134870.000000,142850.000000,7980.000000,134870.000000,137450.000000,2580.000000,-5400.000000,LLM
6,1048,119402.000000,125442.000000,6040.000000,119402.000000,121662.000000,2260.000000,-3780.000000,LLM
7,1049,122696.000000,128296.000000,5600.000000,122696.000000,124836.000000,2140.000000,-3460.000000,LLM
8,1050,143145.000000,150425.000000,7280.000000,143145.000000,145605.000000,2460.000000,-4820.000000,LLM
9,1051,145029.000000,152889.000000,7860.000000,145109.000000,147489.000000,2380.000000,-5480.000000,LLM
10,1052,147504.000000,156824.000000,9320.000000,147504.000000,150324.000000,2820.000000,-6500.000000,LLM
11,1053,136394.000000,139494.000000,3100.000000,136394.000000,137694.000000,1300.000000,-1800.000000,LLM
12,1054,134031.000000,137011.000000,2980.000000,134031.000000,135011.000000,980.000000,-2000.000000,LLM
13,1055,145541.000000,150241.000000,4700.000000,145541.000000,147401.000000,1860.000000,-2840.000000,LLM
14,1056,140677.000000,149937.000000,9260.000000,140677.000000,143337.000000,2660.000000,-6600.000000,LLM
15,1057,130770.000000,133010.000000,2240.000000,130770.000000,131790.000000,1020.000000,-1220.000000,LLM
16,1058,137639.000000,141699.000000,4060.000000,137639.000000,139379.000000,1740.000000,-2320.000000,LLM
17,1059,141516.000000,153056.000000,11540.000000,141516.000000,144761.400000,3245.400000,-8294.600000,LLM
18,1060,133159.000000,139399.000000,6240.000000,133159.000000,135259.000000,2100.000000,-4140.000000,LLM
19,1061,143737.000000,146937.000000,3200.000000,143737.000000,145237.000000,1500.000000,-1700.000000,LLM
20,1062,148912.000000,152012.000000,3100.000000,148912.000000,150212.000000,1300.000000,-1800.000000,LLM
21,1063,133457.000000,135817.000000,2360.000000,133457.000000,134757.000000,1300.000000,-1060.000000,LLM
22,1064,137191.000000,148611.000000,11420.000000,137191.000000,140316.400000,3125.400000,-8294.600000,LLM
23,1065,140241.000000,145841.000000,5600.000000,140241.000000,142381.000000,2140.000000,-3460.000000,LLM
24,1066,147925.000000,153525.000000,5600.000000,147925.000000,149985.000000,2060.000000,-3540.000000,LLM
25,1067,145710.000000,151650.000000,5940.000000,145710.000000,147770.000000,2060.000000,-3880.000000,LLM
26,1068,134043.000000,137243.000000,3200.000000,134043.000000,135583.000000,1540.000000,-1660.000000,LLM
27,1069,143386.000000,146386.000000,3000.000000,143386.000000,145006.000000,1620.000000,-1380.000000,LLM
28,1070,133153.000000,144293.000000,11140.000000,133153.000000,136512.200000,3359.200000,-7780.800000,LLM
29,1071,135994.000000,147414.000000,11420.000000,135994.000000,139182.000000,3188.000000,-8232.000000,LLM
30,1072,148311.000000,154111.000000,5800.000000,148311.000000,150531.000000,2220.000000,-3580.000000,LLM
31,1073,137924.000000,149464.000000,11540.000000,137924.000000,141280.400000,3356.400000,-8183.600000,LLM
32,1074,138218.000000,143118.000000,4900.000000,138218.000000,140038.000000,1820.000000,-3080.000000,LLM
33,1075,119568.000000,132448.000000,12880.000000,119568.000000,124521.700000,4953.700000,-7926.300000,LLM
34,1076,158820.000000,168900.000000,10080.000000,158820.000000,161600.000000,2780.000000,-7300.000000,LLM
35,1077,141440.000000,150760.000000,9320.000000,141440.000000,145520.000000,4080.000000,-5240.000000,LLM
36,1078,149859.000000,155899.000000,6040.000000,149859.000000,152119.000000,2260.000000,-3780.000000,LLM
37,1079,131639.000000,134839.000000,3200.000000,131639.000000,133139.000000,1500.000000,-1700.000000,LLM
38,1080,133146.000000,135006.000000,1860.000000,133146.000000,134446.000000,1300.000000,-560.000000,LLM
39,1081,141155.000000,151275.000000,10120.000000,141155.000000,143838.400000,2683.400000,-7436.600000,LLM
40,1082,150383.000000,161923.000000,11540.000000,150383.000000,153603.000000,3220.000000,-8320.000000,LLM
41,1083,131117.000000,138117.000000,7000.000000,131117.000000,133417.000000,2300.000000,-4700.000000,LLM
42,1084,129184.000000,142904.000000,13720.000000,129184.000000,132921.700000,3737.700000,-9982.300000,LLM
43,1085,147773.000000,156973.000000,9200.000000,147773.000000,150553.000000,2780.000000,-6420.000000,LLM
44,1086,125976.000000,128916.000000,2940.000000,125976.000000,127356.000000,1380.000000,-1560.000000,LLM
45,1087,149845.000000,154545.000000,4700.000000,149845.000000,151785.000000,1940.000000,-2760.000000,LLM
46,1088,142976.000000,147556.000000,4580.000000,142976.000000,144636.000000,1660.000000,-2920.000000,LLM
47,1089,143751.000000,147131.000000,3380.000000,143751.000000,146431.000000,2680.000000,-700.000000,LLM
48,1090,146346.000000,152486.000000,6140.000000,146346.000000,148326.000000,1980.000000,-4160.000000,LLM
49,1091,116785.000000,126505.000000,9720.000000,116785.000000,119775.100000,2990.100000,-6729.900000,LLM
50,1092,130891.000000,140211.000000,9320.000000,130891.000000,133791.000000,2900.000000,-6420.000000,LLM
51,1093,127751.000000,133571.000000,5820.000000,127751.000000,129811.000000,2060.000000,-3760.000000,LLM
52,1094,124207.000000,128347.000000,4140.000000,124207.000000,125907.000000,1700.000000,-2440.000000,LLM
53,1095,135359.000000,139619.000000,4260.000000,135359.000000,137099.000000,1740.000000,-2520.000000,LLM
54,1096,146399.000000,150779.000000,4380.000000,146399.000000,148339.000000,1940.000000,-2440.000000,LLM
55,1097,134450.000000,137330.000000,2880.000000,134450.000000,137230.000000,2780.000000,-100.000000,LLM
56,1098,136949.000000,143089.000000,6140.000000,136949.000000,139089.000000,2140.000000,-4000.000000,LLM
