replication,seed,heuristic_undisrupted_cost,heuristic_disrupted_cost,heuristic_tcd,llm_undisrupted_cost,llm_disrupted_cost,llm_tcd,delta,winner
1,2043,154423.600000,154423.600000,0.000000,154423.600000,154983.600000,560.000000,560.000000,HEURISTIC
2,2044,120251.200000,120251.200000,0.000000,120251.200000,120975.200000,724.000000,724.000000,HEURISTIC
3,2045,131335.100000,131335.100000,0.000000,131335.100000,131949.100000,614.000000,614.000000,HEURISTIC
4,2046,109952.300000,109952.300000,0.000000,109952.300000,110572.300000,620.000000,620.000000,HEURISTIC
5,2047,134647.100000,134647.100000,0.000000,134647.100000,135759.100000,1112.000000,1112.000000,HEURISTIC
6,2048,113739.800000,114137.300000,397.500000,113739.800000,114693.300000,953.500000,556.000000,HEURISTIC
7,2049,122499.500000,122745.500000,246.000000,122499.500000,123945.500000,1446.000000,1200.000000,HEURISTIC
8,2050,122806.700000,122806.700000,0.000000,122806.700000,124172.700000,1366.000000,1366.000000,HEURISTIC
9,2051,139119.600000,139119.600000,0.000000,139119.600000,139741.600000,622.000000,622.000000,HEURISTIC
10,2052,124027.300000,124510.300000,483.000000,124027.300000,125814.300000,1787.000000,1304.000000,HEURISTIC
11,2053,132454.500000,133048.500000,594.000000,132454.500000,134480.500000,2026.000000,1432.000000,HEURISTIC
12,2054,123252.500000,123252.500000,0.000000,123252.500000,124214.500000,962.000000,962.000000,HEURISTIC
13,2055,123522.700000,124320.700000,798.000000,123522.700000,125376.700000,1854.000000,1056.000000,HEURISTIC
14,2056,142675.300000,142675.300000,0.000000,142675.300000,143395.300000,720.000000,720.000000,HEURISTIC
15,2057,138553.400000,138950.900000,397.500000,138553.400000,139912.900000,1359.500000,962.000000,HEURISTIC
16,2058,141632.700000,141632.700000,0.000000,141632.700000,142812.700000,1180.000000,1180.000000,HEURISTIC
17,2059,122746.600000,122746.600000,0.000000,122746.600000,123354.600000,608.000000,608.000000,HEURISTIC
18,2060,134825.800000,134825.800000,0.000000,134825.800000,136539.800000,1714.000000,1714.000000,HEURISTIC
19,2061,142929.700000,142929.700000,0.000000,142929.700000,143821.700000,892.000000,892.000000,HEURISTIC
20,2062,153369.400000,153369.400000,0.000000,153369.400000,154259.400000,890.000000,890.000000,HEURISTIC
21,2063,144593.600000,144593.600000,0.000000,144593.600000,144967.600000,374.000000,374.000000,HEURISTIC
22,2064,137679.400000,137799.400000,120.000000,137679.400000,138375.400000,696.000000,576.000000,HEURISTIC
23,2065,137960.700000,137960.700000,0.000000,137960.700000,138702.700000,742.000000,742.000000,HEURISTIC
24,2066,126611.600000,127298.600000,687.000000,126611.600000,127894.600000,1283.000000,596.000000,HEURISTIC
25,2067,128001.700000,128415.700000,414.000000,128001.700000,129435.700000,1434.000000,1020.000000,HEURISTIC
26,2068,151532.300000,154527.800000,2995.500000,151532.300000,155741.800000,4209.500000,1214.000000,HEURISTIC
27,2069,128779.700000,129415.700000,636.000000,128779.700000,130053.700000,1274.000000,638.000000,HEURISTIC
28,2070,136711.900000,136711.900000,0.000000,136711.900000,137547.900000,836.000000,836.000000,HEURISTIC
29,2071,130110.400000,130110.400000,0.000000,130110.400000,131904.400000,1794.000000,1794.000000,HEURISTIC
30,2072,117406.000000,118553.500000,1147.500000,117406.000000,119699.500000,2293.500000,1146.000000,HEURISTIC
31,2073,152455.600000,152455.600000,0.000000,152455.600000,153493.600000,1038.000000,1038.000000,HEURISTIC
32,2074,123652.100000,123652.100000,0.000000,123652.100000,124926.100000,1274.000000,1274.000000,HEURISTIC
33,2075,134243.500000,134663.500000,420.000000,134243.500000,135159.500000,916.000000,496.000000,HEURISTIC
