replication,seed,heuristic_undisrupted_cost,heuristic_disrupted_cost,heuristic_tcd,llm_undisrupted_cost,llm_disrupted_cost,llm_tcd,delta,winner
1,3043,146411.500000,262494.200000,116082.700000,146411.500000,292600.400000,146188.900000,30106.200000,HEURISTIC
2,3044,126646.800000,293412.000000,166765.200000,126646.800000,299187.700000,172540.900000,5775.700000,HEURISTIC
3,3045,143229.600000,197443.100000,54213.500000,143229.600000,248373.100000,105143.500000,50930.000000,HEURISTIC
4,3046,152756.800000,200875.800000,48119.000000,152756.800000,211786.800000,59030.000000,10911.000000,HEURISTIC
5,3047,101855.100000,165130.100000,63275.000000,101855.100000,189335.700000,87480.600000,24205.600000,HEURISTIC
6,3048,149459.900000,184561.400000,35101.500000,149459.900000,194187.400000,44727.500000,9626.000000,HEURISTIC
7,3049,112478.300000,165360.300000,52882.000000,112478.300000,183821.100000,71342.800000,18460.800000,HEURISTIC
8,3050,130711.500000,188618.000000,57906.500000,130711.500000,209619.500000,78908.000000,21001.500000,HEURISTIC
9,3051,139793.800000,200425.300000,60631.500000,139793.800000,249333.600000,109539.800000,48908.300000,HEURISTIC
10,3052,135958.100000,175573.100000,39615.000000,135958.100000,191860.100000,55902.000000,16287.000000,HEURISTIC
11,3053,112345.100000,165884.100000,53539.000000,112345.100000,181681.100000,69336.000000,15797.000000,HEURISTIC
12,3054,134867.200000,165351.200000,30484.000000,134867.200000,174347.200000,39480.000000,8996.000000,HEURISTIC
13,3055,145929.200000,224122.200000,78193.000000,145929.200000,252127.700000,106198.500000,28005.500000,HEURISTIC
14,3056,148059.800000,199291.800000,51232.000000,148059.800000,207473.800000,59414.000000,8182.000000,HEURISTIC
15,3057,145977.400000,211124.400000,65147.000000,145977.400000,229806.400000,83829.000000,18682.000000,HEURISTIC
16,3058,113198.900000,168256.400000,55057.500000,113198.900000,195233.900000,82035.000000,26977.500000,HEURISTIC
17,3059,118603.000000,165897.000000,47294.000000,118603.000000,186826.800000,68223.800000,20929.800000,HEURISTIC
18,3060,143199.400000,187802.400000,44603.000000,143199.400000,201846.400000,58647.000000,14044.000000,HEURISTIC
19,3061,136169.200000,164473.700000,28304.500000,136169.200000,176812.500000,40643.300000,12338.800000,HEURISTIC
20,3062,140260.700000,207846.700000,67586.000000,140260.700000,237803.800000,97543.100000,29957.100000,HEURISTIC
21,3063,140240.200000,185232.200000,44992.000000,140240.200000,193118.700000,52878.500000,7886.500000,HEURISTIC
22,3064,158716.800000,240939.300000,82222.500000,158716.800000,293018.400000,134301.600000,52079.100000,HEURISTIC
23,3065,144479.000000,183698.500000,39219.500000,144479.000000,202229.000000,57750.000000,18530.500000,HEURISTIC
24,3066,153427.700000,206690.700000,53263.000000,153427.700000,239173.500000,85745.800000,32482.800000,HEURISTIC
25,3067,125127.800000,176384.300000,51256.500000,125127.800000,195262.300000,70134.500000,18878.000000,HEURISTIC
26,3068,127401.300000,170718.800000,43317.500000,127401.300000,181941.300000,54540.000000,11222.500000,HEURISTIC
27,3069,146093.500000,192898.000000,46804.500000,146093.500000,213452.000000,67358.500000,20554.000000,HEURISTIC
28,3070,120978.400000,165130.900000,44152.500000,120978.400000,175545.900000,54567.500000,10415.000000,HEURISTIC
29,3071,155865.400000,294411.100000,138545.700000,155865.400000,331049.600000,175184.200000,36638.500000,HEURISTIC
30,3072,147597.500000,190526.500000,42929.000000,147597.500000,219004.900000,71407.400000,28478.400000,HEURISTIC
31,3073,133411.300000,173301.300000,39890.000000,133411.300000,189829.800000,56418.500000,16528.500000,HEURISTIC
32,3074,117484.300000,174246.300000,56762.000000,117574.300000,199736.400000,82162.100000,25400.100000,HEURISTIC
33,3075,134151.500000,211935.500000,77784.000000,134151.500000,242496.000000,108344.500000,30560.500000,HEURISTIC
