replication,seed,heuristic_undisrupted_cost,heuristic_disrupted_cost,heuristic_tcd,llm_undisrupted_cost,llm_disrupted_cost,llm_tcd,delta,winner
1,3043,146411.500000,146411.500000,0.000000,146411.500000,148397.500000,1986.000000,1986.000000,HEURISTIC
2,3044,126646.800000,126646.800000,0.000000,126646.800000,127454.800000,808.000000,808.000000,HEURISTIC
3,3045,143229.600000,143229.600000,0.000000,143229.600000,144443.600000,1214.000000,1214.000000,HEURISTIC
4,3046,152756.800000,152756.800000,0.000000,152756.800000,154196.800000,1440.000000,1440.000000,HEURISTIC
5,3047,101855.100000,101855.100000,0.000000,101855.100000,103041.100000,1186.000000,1186.000000,HEURISTIC
6,3048,149459.900000,149855.900000,396.000000,149459.900000,150649.900000,1190.000000,794.000000,HEURISTIC
7,3049,112478.300000,114266.300000,1788.000000,112478.300000,115974.300000,3496.000000,1708.000000,HEURISTIC
8,3050,130711.500000,130711.500000,0.000000,130711.500000,132219.500000,1508.000000,1508.000000,HEURISTIC
9,3051,139793.800000,141194.800000,1401.000000,139793.800000,143246.800000,3453.000000,2052.000000,HEURISTIC
10,3052,135958.100000,136447.100000,489.000000,135958.100000,138835.100000,2877.000000,2388.000000,HEURISTIC
11,3053,112345.100000,113170.100000,825.000000,112345.100000,115704.100000,3359.000000,2534.000000,HEURISTIC
12,3054,134867.200000,134867.200000,0.000000,134867.200000,136465.200000,1598.000000,1598.000000,HEURISTIC
13,3055,145929.200000,146589.200000,660.000000,145929.200000,147701.200000,1772.000000,1112.000000,HEURISTIC
14,3056,148059.800000,148059.800000,0.000000,148059.800000,149779.800000,1720.000000,1720.000000,HEURISTIC
15,3057,145977.400000,146580.400000,603.000000,145977.400000,148690.400000,2713.000000,2110.000000,HEURISTIC
16,3058,113198.900000,114524.900000,1326.000000,113198.900000,115974.900000,2776.000000,1450.000000,HEURISTIC
17,3059,118603.000000,118603.000000,0.000000,118603.000000,119341.000000,738.000000,738.000000,HEURISTIC
18,3060,143199.400000,143199.400000,0.000000,143199.400000,144577.400000,1378.000000,1378.000000,HEURISTIC
19,3061,136169.200000,136169.200000,0.000000,136169.200000,137309.200000,1140.000000,1140.000000,HEURISTIC
20,3062,140260.700000,140545.700000,285.000000,140260.700000,142201.700000,1941.000000,1656.000000,HEURISTIC
21,3063,140240.200000,140972.200000,732.000000,140240.200000,143804.200000,3564.000000,2832.000000,HEURISTIC
22,3064,158716.800000,158716.800000,0.000000,158716.800000,160120.800000,1404.000000,1404.000000,HEURISTIC
23,3065,144479.000000,144479.000000,0.000000,144479.000000,145799.000000,1320.000000,1320.000000,HEURISTIC
24,3066,153427.700000,154015.700000,588.000000,153427.700000,155515.700000,2088.000000,1500.000000,HEURISTIC
25,3067,125127.800000,125817.800000,690.000000,125127.800000,128035.800000,2908.000000,2218.000000,HEURISTIC
26,3068,127401.300000,127977.300000,576.000000,127401.300000,129757.300000,2356.000000,1780.000000,HEURISTIC
27,3069,146093.500000,146093.500000,0.000000,146093.500000,147059.500000,966.000000,966.000000,HEURISTIC
28,3070,120978.400000,121773.400000,795.000000,120978.400000,123805.400000,2827.000000,2032.000000,HEURISTIC
29,3071,155865.400000,156564.400000,699.000000,155865.400000,158250.400000,2385.000000,1686.000000,HEURISTIC
30,3072,147597.500000,147597.500000,0.000000,147597.500000,149803.500000,2206.000000,2206.000000,HEURISTIC
31,3073,133411.300000,133411.300000,0.000000,133411.300000,135491.300000,2080.000000,2080.000000,HEURISTIC
32,3074,117484.300000,117484.300000,0.000000,117574.300000,118542.300000,968.000000,968.000000,HEURISTIC
33,3075,134151.500000,140852.000000,6700.500000,134151.500000,143314.000000,9162.500000,2462.000000,HEURISTIC
