experiment_id,scenario_id,replication,seed,policy,run_kind,total_cost,transport_cost,reroute_cost,expedite_cost,holding_cost,backlog_cost,late_cost,terminal_cost,same_day_fill_rate,final_fulfilment_rate,ending_backlog_units,backlog_unit_days,late_delivered_units,late_delivery_rate,average_lateness_days_weighted,reroute_count,expedite_count,expedited_units,decision_count,invalid_action_rate,abstention_rate,fallback_rate,mean_decision_latency_ms,days_to_clear_backlog_after_shock,terminated_with_unresolved_state
heavy_port_disruption_comparison,primary_port_extended_closure_with_congestion,1,1043,heuristic,UNDISRUPTED,171417.000000,26080.000000,0.000000,0.000000,1304.000000,99033.000000,0.000000,45000.000000,0.000000,0.708114,500,33011,0,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,,True
heavy_port_disruption_comparison,primary_port_extended_closure_with_congestion,1,1043,heuristic,DISRUPTED,362565.000000,28480.000000,800.000000,0.000000,2532.000000,196713.000000,21540.000000,112500.000000,0.000000,0.311150,1180,65571,1400,0.729167,10.257143,10,0,0,149,0.000000,0.000000,0.000000,0.004514,,True
heavy_port_disruption_comparison,primary_port_extended_closure_with_congestion,1,1043,llm_agent,UNDISRUPTED,171417.000000,26080.000000,0.000000,0.000000,1304.000000,99033.000000,0.000000,45000.000000,0.000000,0.708114,500,33011,0,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,,True
heavy_port_disruption_comparison,primary_port_extended_closure_with_congestion,1,1043,llm_agent,DISRUPTED,173081.000000,54080.000000,320.000000,11200.000000,1188.000000,61713.000000,3180.000000,41400.000000,0.033859,0.731465,460,20571,80,0.037037,26.500000,4,28,1120,32,0.000000,0.000000,0.000000,4219.737912,,True
heavy_port_disruption_comparison,primary_port_extended_closure_with_congestion,2,1044,heuristic,UNDISRUPTED,122565.000000,26400.000000,0.000000,0.000000,1308.000000,66447.000000,60.000000,28350.000000,0.000000,0.800759,315,22149,40,0.018519,1.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,,True
heavy_port_disruption_comparison,primary_port_extended_closure_with_congestion,2,1044,heuristic,DISRUPTED,215369.000000,27120.000000,240.000000,0.000000,1892.000000,122247.000000,17520.000000,46350.000000,0.000000,0.674257,515,40749,1200,0.555556,9.733333,3,0,0,141,0.000000,0.000000,0.000000,0.006594,,True
heavy_port_disruption_comparison,primary_port_extended_closure_with_congestion,2,1044,llm_agent,UNDISRUPTED,122565.000000,26400.000000,0.000000,0.000000,1308.000000,66447.000000,60.000000,28350.000000,0.000000,0.800759,315,22149,40,0.018519,1.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,,True
heavy_port_disruption_comparison,primary_port_extended_closure_with_congestion,2,1044,llm_agent,DISRUPTED,135119.200000,47400.000000,480.000000,8400.000000,1376.200000,45453.000000,3660.000000,28350.000000,0.339658,0.800759,315,15151,160,0.074074,15.250000,6,21,840,27,0.000000,0.000000,0.000000,2360.847056,0,True
heavy_port_disruption_comparison,primary_port_extended_closure_with_congestion,3,1045,heuristic,UNDISRUPTED,132856.000000,26080.000000,0.000000,0.000000,1308.000000,74508.000000,0.000000,30960.000000,0.000000,0.786600,344,24836,0,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,,True
heavy_port_disruption_comparison,primary_port_extended_closure_with_congestion,3,1045,heuristic,DISRUPTED,293176.000000,28000.000000,640.000000,0.000000,2228.000000,153588.000000,19800.000000,88920.000000,0.000000,0.414392,944,51196,1240,0.620000,10.645161,8,0,0,143,0.000000,0.000000,0.000000,0.006043,,True
