replication,seed,heuristic_undisrupted_cost,heuristic_disrupted_cost,heuristic_tcd,llm_undisrupted_cost,llm_disrupted_cost,llm_tcd,delta,winner
1,2043,154423.600000,181471.600000,27048.000000,154423.600000,173100.100000,18676.500000,-8371.500000,LLM
2,2044,120251.200000,228333.000000,108081.800000,120251.200000,148545.700000,28294.500000,-79787.300000,LLM
3,2045,131335.100000,222300.300000,90965.200000,131335.100000,206022.200000,74687.100000,-16278.100000,LLM
4,2046,109952.300000,142659.800000,32707.500000,109952.300000,127429.800000,17477.500000,-15230.000000,LLM
5,2047,134647.100000,161903.600000,27256.500000,134647.100000,159007.100000,24360.000000,-2896.500000,LLM
6,2048,113739.800000,191719.500000,77979.700000,113739.800000,164234.500000,50494.700000,-27485.000000,LLM
7,2049,122499.500000,305460.700000,182961.200000,122499.500000,214130.100000,91630.600000,-91330.600000,LLM
8,2050,122806.700000,215910.400000,93103.700000,122806.700000,164302.200000,41495.500000,-51608.200000,LLM
9,2051,139119.600000,163913.100000,24793.500000,139191.600000,152499.600000,13308.000000,-11485.500000,LLM
10,2052,124027.300000,258260.100000,134232.800000,124027.300000,178859.800000,54832.500000,-79400.300000,LLM
11,2053,132454.500000,238982.300000,106527.800000,132454.500000,157499.000000,25044.500000,-81483.300000,LLM
12,2054,123252.500000,340901.000000,217648.500000,123252.500000,275470.500000,152218.000000,-65430.500000,LLM
13,2055,123522.700000,329100.600000,205577.900000,123522.700000,286457.300000,162934.600000,-42643.300000,LLM
14,2056,142675.300000,276562.000000,133886.700000,142675.300000,194051.500000,51376.200000,-82510.500000,LLM
15,2057,138553.400000,299156.300000,160602.900000,138553.400000,258710.200000,120156.800000,-40446.100000,LLM
16,2058,141632.700000,314069.000000,172436.300000,141632.700000,237352.900000,95720.200000,-76716.100000,LLM
17,2059,122746.600000,340882.800000,218136.200000,122746.600000,269289.700000,146543.100000,-71593.100000,LLM
18,2060,134825.800000,310336.000000,175510.200000,134825.800000,191547.700000,56721.900000,-118788.300000,LLM
19,2061,142929.700000,327993.600000,185063.900000,142929.700000,247304.200000,104374.500000,-80689.400000,LLM
20,2062,153369.400000,347384.600000,194015.200000,153369.400000,254951.700000,101582.300000,-92432.900000,LLM
21,2063,144593.600000,169867.600000,25274.000000,144593.600000,158068.100000,13474.500000,-11799.500000,LLM
22,2064,137679.400000,193640.800000,55961.400000,137679.400000,159946.900000,22267.500000,-33693.900000,LLM
23,2065,137960.700000,298789.200000,160828.500000,137960.700000,216111.900000,78151.200000,-82677.300000,LLM
24,2066,126611.600000,163579.600000,36968.000000,126611.600000,156110.600000,29499.000000,-7469.000000,LLM
25,2067,128001.700000,190173.600000,62171.900000,128001.700000,155756.200000,27754.500000,-34417.400000,LLM
26,2068,151532.300000,411808.700000,260276.400000,151532.300000,307534.000000,156001.700000,-104274.700000,LLM
27,2069,128779.700000,327758.700000,198979.000000,128779.700000,251769.300000,122989.600000,-75989.400000,LLM
28,2070,136711.900000,278331.700000,141619.800000,136711.900000,199445.500000,62733.600000,-78886.200000,LLM
29,2071,130110.400000,354487.900000,224377.500000,130110.400000,245250.700000,115140.300000,-109237.200000,LLM
30,2072,117406.000000,347114.700000,229708.700000,117406.000000,235837.400000,118431.400000,-111277.300000,LLM
31,2073,152455.600000,321673.300000,169217.700000,152455.600000,273621.800000,121166.200000,-48051.500000,LLM
32,2074,123652.100000,195839.000000,72186.900000,123652.100000,168686.100000,45034.000000,-27152.900000,LLM
33,2075,134243.500000,223425.700000,89182.200000,134243.500000,206750.600000,72507.100000,-16675.100000,LLM
