experiment_id,scenario_id,replication,policy,run_kind,day,inventory_units,backlog_units,shipments_at_node,shipments_in_transit,shipments_delivered,daily_demand_units,daily_same_day_fulfilled_units,daily_backlog_fulfilled_units,daily_transport_cost,daily_reroute_cost,daily_expedite_cost,daily_holding_cost,daily_backlog_cost,daily_late_cost,cumulative_total_cost,active_shock_ids
compact_light_comparison,primary_port_partial_capacity,1,heuristic,UNDISRUPTED,21,0,364,0,14,7,36,0,41,571.000000,0.000000,0.000000,0.000000,1092.000000,0.000000,1663.000000,
compact_light_comparison,primary_port_partial_capacity,1,heuristic,UNDISRUPTED,22,0,360,0,14,8,37,0,41,554.000000,0.000000,0.000000,0.000000,1080.000000,0.000000,3297.000000,
compact_light_comparison,primary_port_partial_capacity,1,heuristic,UNDISRUPTED,23,0,358,0,14,9,43,0,45,576.000000,0.000000,0.000000,0.000000,1074.000000,0.000000,4947.000000,
compact_light_comparison,primary_port_partial_capacity,1,heuristic,UNDISRUPTED,24,0,343,0,14,10,35,0,50,500.000000,0.000000,0.000000,0.000000,1029.000000,0.000000,6476.000000,
compact_light_comparison,primary_port_partial_capacity,1,heuristic,UNDISRUPTED,25,0,337,0,14,11,34,0,40,694.000000,0.000000,0.000000,0.000000,1011.000000,0.000000,8181.000000,
compact_light_comparison,primary_port_partial_capacity,1,heuristic,UNDISRUPTED,26,0,371,0,15,11,34,0,0,604.000000,0.000000,0.000000,0.000000,1113.000000,0.000000,9898.000000,
compact_light_comparison,primary_port_partial_capacity,1,heuristic,UNDISRUPTED,27,0,345,0,14,13,40,0,66,567.000000,0.000000,0.000000,0.000000,1035.000000,0.000000,11500.000000,
compact_light_comparison,primary_port_partial_capacity,1,heuristic,UNDISRUPTED,28,0,347,0,14,14,38,0,36,652.000000,0.000000,0.000000,0.000000,1041.000000,0.000000,13193.000000,
compact_light_comparison,primary_port_partial_capacity,1,heuristic,UNDISRUPTED,29,0,335,0,14,15,37,0,49,538.000000,0.000000,0.000000,0.000000,1005.000000,0.000000,14736.000000,
compact_light_comparison,primary_port_partial_capacity,1,heuristic,UNDISRUPTED,30,0,347,0,14,16,48,0,36,653.000000,0.000000,0.000000,0.000000,1041.000000,0.000000,16430.000000,
compact_light_comparison,primary_port_partial_capacity,1,heuristic,UNDISRUPTED,31,0,347,0,14,17,42,0,42,559.000000,0.000000,0.000000,0.000000,1041.000000,0.000000,18030.000000,
compact_light_comparison,primary_port_partial_capacity,1,heuristic,UNDISRUPTED,32,0,352,0,14,18,40,0,35,600.000000,0.000000,0.000000,0.000000,1056.000000,0.000000,19686.000000,
compact_light_comparison,primary_port_partial_capacity,1,heuristic,UNDISRUPTED,33,0,360,0,14,19,45,0,37,628.000000,0.000000,0.000000,0.000000,1080.000000,0.000000,21394.000000,
