replication,seed,heuristic_undisrupted_cost,heuristic_disrupted_cost,heuristic_tcd,llm_undisrupted_cost,llm_disrupted_cost,llm_tcd,delta,winner
1,2043,154423.600000,156876.100000,2452.500000,154423.600000,155940.100000,1516.500000,-936.000000,LLM
2,2044,120251.200000,124073.200000,3822.000000,120251.200000,124211.200000,3960.000000,138.000000,HEURISTIC
3,2045,131335.100000,134354.600000,3019.500000,131335.100000,134986.600000,3651.500000,632.000000,HEURISTIC
4,2046,109952.300000,111734.300000,1782.000000,110026.300000,111409.800000,1383.500000,-398.500000,LLM
5,2047,134647.100000,142424.600000,7777.500000,134647.100000,141740.600000,7093.500000,-684.000000,LLM
6,2048,113739.800000,115735.800000,1996.000000,113739.800000,115652.300000,1912.500000,-83.500000,LLM
7,2049,122499.500000,127936.000000,5436.500000,122499.500000,124518.500000,2019.000000,-3417.500000,LLM
8,2050,122806.700000,140089.700000,17283.000000,122806.700000,136880.200000,14073.500000,-3209.500000,LLM
9,2051,139119.600000,142094.100000,2974.500000,139191.600000,141789.600000,2598.000000,-376.500000,LLM
10,2052,124027.300000,134298.300000,10271.000000,124027.300000,132053.800000,8026.500000,-2244.500000,LLM
11,2053,132454.500000,149566.500000,17112.000000,132454.500000,140370.000000,7915.500000,-9196.500000,LLM
12,2054,123252.500000,127850.000000,4597.500000,123252.500000,127959.000000,4706.500000,109.000000,HEURISTIC
13,2055,123522.700000,131868.700000,8346.000000,123522.700000,128546.200000,5023.500000,-3322.500000,LLM
14,2056,142675.300000,146021.800000,3346.500000,142675.300000,146993.800000,4318.500000,972.000000,HEURISTIC
15,2057,138553.400000,143130.900000,4577.500000,138553.400000,142116.400000,3563.000000,-1014.500000,LLM
16,2058,141632.700000,148739.700000,7107.000000,141632.700000,145097.200000,3464.500000,-3642.500000,LLM
17,2059,122746.600000,126919.600000,4173.000000,122746.600000,126909.600000,4163.000000,-10.000000,LLM
18,2060,134825.800000,149872.300000,15046.500000,134825.800000,144702.800000,9877.000000,-5169.500000,LLM
19,2061,142929.700000,150914.700000,7985.000000,142929.700000,148837.200000,5907.500000,-2077.500000,LLM
20,2062,153369.400000,160013.900000,6644.500000,153369.400000,159365.900000,5996.500000,-648.000000,LLM
21,2063,144593.600000,146530.600000,1937.000000,144593.600000,146085.600000,1492.000000,-445.000000,LLM
22,2064,137679.400000,141324.400000,3645.000000,137679.400000,141010.900000,3331.500000,-313.500000,LLM
23,2065,137960.700000,143806.200000,5845.500000,137960.700000,144836.700000,6876.000000,1030.500000,HEURISTIC
24,2066,126611.600000,130862.600000,4251.000000,126611.600000,131226.600000,4615.000000,364.000000,HEURISTIC
25,2067,128001.700000,131424.200000,3422.500000,128001.700000,131347.200000,3345.500000,-77.000000,LLM
26,2068,151532.300000,160021.800000,8489.500000,151532.300000,159696.300000,8164.000000,-325.500000,LLM
27,2069,128779.700000,129869.200000,1089.500000,128779.700000,130093.200000,1313.500000,224.000000,HEURISTIC
28,2070,136711.900000,144454.900000,7743.000000,136711.900000,143009.400000,6297.500000,-1445.500000,LLM
29,2071,130110.400000,146277.400000,16167.000000,130110.400000,140248.900000,10138.500000,-6028.500000,LLM
30,2072,117406.000000,127043.500000,9637.500000,117406.000000,123565.000000,6159.000000,-3478.500000,LLM
31,2073,152455.600000,157695.100000,5239.500000,152455.600000,158893.100000,6437.500000,1198.000000,HEURISTIC
32,2074,123652.100000,135194.600000,11542.500000,123652.100000,132624.600000,8972.500000,-2570.000000,LLM
33,2075,134243.500000,137407.000000,3163.500000,134243.500000,136464.500000,2221.000000,-942.500000,LLM
