experiment_id,scenario_id,replication,seed,policy,run_kind,total_cost,transport_cost,reroute_cost,expedite_cost,holding_cost,backlog_cost,late_cost,terminal_cost,same_day_fill_rate,final_fulfilment_rate,ending_backlog_units,backlog_unit_days,late_delivered_units,late_delivery_rate,average_lateness_days_weighted,reroute_count,expedite_count,expedited_units,decision_count,invalid_action_rate,abstention_rate,fallback_rate,mean_decision_latency_ms,days_to_clear_backlog_after_shock,terminated_with_unresolved_state
compact_medium_comparison,primary_port_closure,1,2043,heuristic,UNDISRUPTED,154423.600000,25728.000000,0.000000,0.000000,1396.600000,86169.000000,0.000000,41130.000000,0.000000,0.720831,457,28723,0,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,,True
compact_medium_comparison,primary_port_closure,1,2043,heuristic,DISRUPTED,156876.100000,25728.000000,0.000000,0.000000,1396.600000,88056.000000,565.500000,41130.000000,0.000000,0.720831,457,29352,208,0.097470,1.812500,0,0,0,13,0.000000,0.000000,0.000000,0.006048,,True
compact_medium_comparison,primary_port_closure,1,2043,llm_agent,UNDISRUPTED,154423.600000,25728.000000,0.000000,0.000000,1396.600000,86169.000000,0.000000,41130.000000,0.000000,0.720831,457,28723,0,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,,True
compact_medium_comparison,primary_port_closure,1,2043,llm_agent,DISRUPTED,155940.100000,28428.000000,348.000000,1080.000000,1396.600000,83232.000000,325.500000,41130.000000,0.000000,0.720831,457,27744,87,0.040769,2.494253,4,3,108,8,0.000000,0.125000,0.125000,2493.268620,,True
compact_medium_comparison,primary_port_closure,2,2044,heuristic,UNDISRUPTED,120251.200000,26019.000000,0.000000,0.000000,1292.200000,65940.000000,0.000000,27000.000000,0.000000,0.810964,300,21980,0,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,,True
compact_medium_comparison,primary_port_closure,2,2044,heuristic,DISRUPTED,124073.200000,26019.000000,0.000000,0.000000,1292.200000,68820.000000,942.000000,27000.000000,0.000000,0.810964,300,22940,249,0.114273,2.522088,0,0,0,19,0.000000,0.000000,0.000000,0.007377,,True
compact_medium_comparison,primary_port_closure,2,2044,llm_agent,UNDISRUPTED,120251.200000,26019.000000,0.000000,0.000000,1292.200000,65940.000000,0.000000,27000.000000,0.000000,0.810964,300,21980,0,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,,True
compact_medium_comparison,primary_port_closure,2,2044,llm_agent,DISRUPTED,124211.200000,27744.000000,864.000000,690.000000,1292.200000,65781.000000,840.000000,27000.000000,0.000000,0.810964,300,21927,215,0.098669,2.604651,10,2,69,16,0.000000,0.187500,0.187500,2503.643260,,True
compact_medium_comparison,primary_port_closure,3,2045,heuristic,UNDISRUPTED,131335.100000,26584.000000,0.000000,0.000000,1386.100000,72765.000000,0.000000,30600.000000,0.000000,0.782886,340,24255,0,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,,True
compact_medium_comparison,primary_port_closure,3,2045,heuristic,DISRUPTED,134354.600000,27559.000000,0.000000,390.000000,1386.100000,73668.000000,751.500000,30600.000000,0.000000,0.782886,340,24556,226,0.103008,2.216814,0,1,39,14,0.000000,0.000000,0.000000,0.008342,,True
compact_medium_comparison,primary_port_closure,3,2045,llm_agent,UNDISRUPTED,131335.100000,26584.000000,0.000000,0.000000,1386.100000,72765.000000,0.000000,30600.000000,0.000000,0.782886,340,24255,0,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,,True
compact_medium_comparison,primary_port_closure,3,2045,llm_agent,DISRUPTED,134986.600000,27559.000000,632.000000,390.000000,1386.100000,73668.000000,751.500000,30600.000000,0.000000,0.782886,340,24556,226,0.103008,2.216814,7,1,39,14,0.000000,0.285714,0.285714,2546.574024,,True
compact_medium_comparison,primary_port_closure,4,2046,heuristic,UNDISRUPTED,109952.300000,25748.000000,0.000000,0.000000,1360.800000,58848.000000,55.500000,23940.000000,0.000000,0.822311,266,19616,37,0.017043,1.000000,0,0,0,1,0.000000,0.000000,0.000000,0.015500,,True
compact_medium_comparison,primary_port_closure,4,2046,heuristic,DISRUPTED,111734.300000,25748.000000,0.000000,0.000000,1360.800000,60219.000000,466.500000,23940.000000,0.000000,0.822311,266,20073,194,0.089360,1.603093,0,0,0,12,0.000000,0.000000,0.000000,0.006788,,True
compact_medium_comparison,primary_port_closure,4,2046,llm_agent,UNDISRUPTED,110026.300000,25748.000000,74.000000,0.000000,1360.800000,58848.000000,55.500000,23940.000000,0.000000,0.822311,266,19616,37,0.017043,1.000000,1,0,0,1,0.000000,0.000000,0.000000,2255.918416,,True
