replication,seed,heuristic_undisrupted_cost,heuristic_disrupted_cost,heuristic_tcd,llm_undisrupted_cost,llm_disrupted_cost,llm_tcd,delta,winner
1,3043,146411.500000,157169.500000,10758.000000,146411.500000,161875.500000,15464.000000,4706.000000,HEURISTIC
2,3044,126646.800000,128394.300000,1747.500000,126646.800000,130242.800000,3596.000000,1848.500000,HEURISTIC
3,3045,143229.600000,145970.100000,2740.500000,143229.600000,150527.100000,7297.500000,4557.000000,HEURISTIC
4,3046,152756.800000,159281.800000,6525.000000,152756.800000,162815.800000,10059.000000,3534.000000,HEURISTIC
5,3047,101855.100000,108816.600000,6961.500000,101855.100000,112265.600000,10410.500000,3449.000000,HEURISTIC
6,3048,149459.900000,151523.900000,2064.000000,149459.900000,154198.900000,4739.000000,2675.000000,HEURISTIC
7,3049,112478.300000,121896.800000,9418.500000,112478.300000,128176.300000,15698.000000,6279.500000,HEURISTIC
8,3050,130711.500000,138124.500000,7413.000000,130711.500000,144802.000000,14090.500000,6677.500000,HEURISTIC
9,3051,139793.800000,153148.300000,13354.500000,139793.800000,159946.300000,20152.500000,6798.000000,HEURISTIC
10,3052,135958.100000,152962.600000,17004.500000,135958.100000,162519.100000,26561.000000,9556.500000,HEURISTIC
11,3053,112345.100000,128333.600000,15988.500000,112345.100000,136306.600000,23961.500000,7973.000000,HEURISTIC
12,3054,134867.200000,140714.200000,5847.000000,134867.200000,145866.700000,10999.500000,5152.500000,HEURISTIC
13,3055,145929.200000,151834.700000,5905.500000,145929.200000,156641.700000,10712.500000,4807.000000,HEURISTIC
14,3056,148059.800000,156227.300000,8167.500000,148059.800000,161547.800000,13488.000000,5320.500000,HEURISTIC
15,3057,145977.400000,157255.900000,11278.500000,145977.400000,163025.900000,17048.500000,5770.000000,HEURISTIC
16,3058,113198.900000,120562.400000,7363.500000,113198.900000,124790.900000,11592.000000,4228.500000,HEURISTIC
17,3059,118603.000000,121873.000000,3270.000000,118603.000000,126300.000000,7697.000000,4427.000000,HEURISTIC
18,3060,143199.400000,149590.900000,6391.500000,143199.400000,154012.900000,10813.500000,4422.000000,HEURISTIC
19,3061,136169.200000,141180.700000,5011.500000,136169.200000,144641.700000,8472.500000,3461.000000,HEURISTIC
20,3062,140260.700000,149689.700000,9429.000000,140260.700000,156457.200000,16196.500000,6767.500000,HEURISTIC
21,3063,140240.200000,157556.200000,17316.000000,140240.200000,165787.200000,25547.000000,8231.000000,HEURISTIC
22,3064,158716.800000,165616.800000,6900.000000,158716.800000,170004.300000,11287.500000,4387.500000,HEURISTIC
23,3065,144479.000000,151157.000000,6678.000000,144479.000000,155059.000000,10580.000000,3902.000000,HEURISTIC
24,3066,153427.700000,159706.700000,6279.000000,153427.700000,163769.700000,10342.000000,4063.000000,HEURISTIC
25,3067,125127.800000,134273.300000,9145.500000,125127.800000,138461.300000,13333.500000,4188.000000,HEURISTIC
26,3068,127401.300000,134476.800000,7075.500000,127401.300000,139175.300000,11774.000000,4698.500000,HEURISTIC
27,3069,146093.500000,148148.500000,2055.000000,146093.500000,149080.500000,2987.000000,932.000000,HEURISTIC
28,3070,120978.400000,130539.400000,9561.000000,120978.400000,139091.400000,18113.000000,8552.000000,HEURISTIC
29,3071,155865.400000,161653.900000,5788.500000,155865.400000,166489.900000,10624.500000,4836.000000,HEURISTIC
30,3072,147597.500000,164655.500000,17058.000000,147597.500000,171207.000000,23609.500000,6551.500000,HEURISTIC
31,3073,133411.300000,144604.300000,11193.000000,133411.300000,150236.300000,16825.000000,5632.000000,HEURISTIC
32,3074,117484.300000,123541.300000,6057.000000,117484.300000,129515.300000,12031.000000,5974.000000,HEURISTIC
33,3075,134151.500000,151155.500000,17004.000000,134151.500000,157618.000000,23466.500000,6462.500000,HEURISTIC
