replication,seed,heuristic_undisrupted_cost,heuristic_disrupted_cost,heuristic_tcd,llm_undisrupted_cost,llm_disrupted_cost,llm_tcd,delta,winner
1,1043,171417.000000,362565.000000,191148.000000,171417.000000,173081.000000,1664.000000,-189484.000000,LLM
2,1044,122565.000000,215369.000000,92804.000000,122565.000000,135119.200000,12554.200000,-80249.800000,LLM
3,1045,132856.000000,293176.000000,160320.000000,132856.000000,107873.200000,-24982.800000,-185302.800000,LLM
4,1046,123926.000000,155746.000000,31820.000000,123926.000000,130230.300000,6304.300000,-25515.700000,LLM
5,1047,134870.000000,318110.000000,183240.000000,134870.000000,146298.600000,11428.600000,-171811.400000,LLM
6,1048,119402.000000,237986.000000,118584.000000,119402.000000,129339.200000,9937.200000,-108646.800000,LLM
7,1049,122696.000000,185428.000000,62732.000000,122696.000000,130085.000000,7389.000000,-55343.000000,LLM
8,1050,143145.000000,261845.000000,118700.000000,143145.000000,149851.100000,6706.100000,-111993.900000,LLM
9,1051,145029.000000,269589.000000,124560.000000,145109.000000,152252.700000,7143.700000,-117416.300000,LLM
10,1052,147504.000000,215636.000000,68132.000000,147504.000000,153284.000000,5780.000000,-62352.000000,LLM
11,1053,136394.000000,305594.000000,169200.000000,136394.000000,144464.000000,8070.000000,-161130.000000,LLM
12,1054,134031.000000,284307.000000,150276.000000,134031.000000,144659.200000,10628.200000,-139647.800000,LLM
13,1055,145541.000000,264241.000000,118700.000000,145541.000000,152746.200000,7205.200000,-111494.800000,LLM
14,1056,140677.000000,173377.000000,32700.000000,140677.000000,145624.400000,4947.400000,-27752.600000,LLM
15,1057,130770.000000,155990.000000,25220.000000,130770.000000,136004.300000,5234.300000,-19985.700000,LLM
16,1058,137639.000000,166559.000000,28920.000000,137639.000000,143106.500000,5467.500000,-23452.500000,LLM
17,1059,141516.000000,319872.000000,178356.000000,141516.000000,148730.500000,7214.500000,-171141.500000,LLM
18,1060,133159.000000,313583.000000,180424.000000,133159.000000,140918.800000,7759.800000,-172664.200000,LLM
19,1061,143737.000000,324401.000000,180664.000000,143737.000000,150920.300000,7183.300000,-173480.700000,LLM
20,1062,148912.000000,311160.000000,162248.000000,148992.000000,109390.500000,-39601.500000,-201849.500000,LLM
21,1063,133457.000000,229689.000000,96232.000000,133457.000000,140536.800000,7079.800000,-89152.200000,LLM
22,1064,137191.000000,218935.000000,81744.000000,137191.000000,144924.500000,7733.500000,-74010.500000,LLM
23,1065,140241.000000,194041.000000,53800.000000,140241.000000,146979.800000,6738.800000,-47061.200000,LLM
24,1066,147925.000000,249949.000000,102024.000000,147925.000000,154102.100000,6177.100000,-95846.900000,LLM
25,1067,145710.000000,264298.000000,118588.000000,145710.000000,152010.000000,6300.000000,-112288.000000,LLM
26,1068,134043.000000,191011.000000,56968.000000,134043.000000,140257.200000,6214.200000,-50753.800000,LLM
27,1069,143386.000000,288822.000000,145436.000000,143386.000000,150804.200000,7418.200000,-138017.800000,LLM
28,1070,133153.000000,332357.000000,199204.000000,133153.000000,142917.100000,9764.100000,-189439.900000,LLM
29,1071,135994.000000,247266.000000,111272.000000,135994.000000,145297.100000,9303.100000,-101968.900000,LLM
30,1072,148311.000000,173611.000000,25300.000000,148311.000000,152457.200000,4146.200000,-21153.800000,LLM
31,1073,137924.000000,200664.000000,62740.000000,137924.000000,145621.200000,7697.200000,-55042.800000,LLM
32,1074,138218.000000,322350.000000,184132.000000,138218.000000,147142.900000,8924.900000,-175207.100000,LLM
33,1075,119568.000000,209820.000000,90252.000000,119568.000000,127122.900000,7554.900000,-82697.100000,LLM
34,1076,158820.000000,329056.000000,170236.000000,158820.000000,158373.300000,-446.700000,-170682.700000,LLM
35,1077,141440.000000,286396.000000,144956.000000,141440.000000,147999.700000,6559.700000,-138396.300000,LLM
36,1078,149859.000000,205159.000000,55300.000000,149859.000000,156892.800000,7033.800000,-48266.200000,LLM
37,1079,131639.000000,264571.000000,132932.000000,131639.000000,139581.600000,7942.600000,-124989.400000,LLM
38,1080,133146.000000,295382.000000,162236.000000,133146.000000,127596.100000,-5549.900000,-167785.900000,LLM
39,1081,141155.000000,166395.000000,25240.000000,141235.000000,145648.200000,4413.200000,-20826.800000,LLM
40,1082,150383.000000,280527.000000,130144.000000,150383.000000,156363.000000,5980.000000,-124164.000000,LLM
41,1083,131117.000000,199193.000000,68076.000000,131117.000000,137898.800000,6781.800000,-61294.200000,LLM
42,1084,129184.000000,300180.000000,170996.000000,129184.000000,141250.500000,12066.500000,-158929.500000,LLM
43,1085,147773.000000,317661.000000,169888.000000,147773.000000,159213.000000,11440.000000,-158448.000000,LLM
44,1086,125976.000000,291452.000000,165476.000000,125976.000000,127439.400000,1463.400000,-164012.600000,LLM
45,1087,149845.000000,337777.000000,187932.000000,149845.000000,151661.100000,1816.100000,-186115.900000,LLM
46,1088,142976.000000,310464.000000,167488.000000,142976.000000,123700.400000,-19275.600000,-186763.600000,LLM
47,1089,143751.000000,320455.000000,176704.000000,143751.000000,124629.900000,-19121.100000,-195825.100000,LLM
48,1090,146346.000000,330010.000000,183664.000000,146346.000000,148416.300000,2070.300000,-181593.700000,LLM
49,1091,116785.000000,280433.000000,163648.000000,116785.000000,107260.300000,-9524.700000,-173172.700000,LLM
50,1092,130891.000000,289943.000000,159052.000000,130891.000000,99116.900000,-31774.100000,-190826.100000,LLM
51,1093,127751.000000,252035.000000,124284.000000,127751.000000,137451.800000,9700.800000,-114583.200000,LLM
52,1094,124207.000000,283771.000000,159564.000000,124207.000000,124825.800000,618.800000,-158945.200000,LLM
53,1095,135359.000000,298275.000000,162916.000000,135359.000000,110614.700000,-24744.300000,-187660.300000,LLM
54,1096,146399.000000,201679.000000,55280.000000,146399.000000,151382.600000,4983.600000,-50296.400000,LLM
55,1097,134450.000000,264602.000000,130152.000000,134450.000000,141524.300000,7074.300000,-123077.700000,LLM
56,1098,136949.000000,272845.000000,135896.000000,136949.000000,145475.500000,8526.500000,-127369.500000,LLM
57,1099,129482.000000,168942.000000,39460.000000,129482.000000,136967.000000,7485.000000,-31975.000000,LLM
58,1100,150362.000000,230302.000000,79940.000000,150362.000000,155382.000000,5020.000000,-74920.000000,LLM
59,1101,131117.000000,174417.000000,43300.000000,131117.000000,139972.500000,8855.500000,-34444.500000,LLM
60,1102,130245.000000,328721.000000,198476.000000,130245.000000,142419.100000,12174.100000,-186301.900000,LLM
61,1103,133069.000000,158409.000000,25340.000000,133069.000000,138561.900000,5492.900000,-19847.100000,LLM
62,1104,139766.000000,299766.000000,160000.000000,139766.000000,148314.100000,8548.100000,-151451.900000,LLM
63,1105,147767.000000,277811.000000,130044.000000,147767.000000,154729.800000,6962.800000,-123081.200000,LLM
64,1106,141210.000000,180670.000000,39460.000000,141210.000000,147244.300000,6034.300000,-33425.700000,LLM
65,1107,149586.000000,204382.000000,54796.000000,149586.000000,155977.600000,6391.600000,-48404.400000,LLM
66,1108,120771.000000,145431.000000,24660.000000,120771.000000,126313.700000,5542.700000,-19117.300000,LLM
67,1109,158014.000000,190954.000000,32940.000000,158094.000000,163080.800000,4986.800000,-27953.200000,LLM
68,1110,145769.000000,238741.000000,92972.000000,145769.000000,151636.000000,5867.000000,-87105.000000,LLM
69,1111,129007.000000,208803.000000,79796.000000,129007.000000,136061.300000,7054.300000,-72741.700000,LLM
70,1112,115714.000000,287294.000000,171580.000000,115714.000000,120529.000000,4815.000000,-166765.000000,LLM
71,1113,127933.000000,227777.000000,99844.000000,127933.000000,135782.100000,7849.100000,-91994.900000,LLM
72,1114,138315.000000,196239.000000,57924.000000,138315.000000,144148.300000,5833.300000,-52090.700000,LLM
73,1115,131413.000000,237913.000000,106500.000000,131413.000000,137960.700000,6547.700000,-99952.300000,LLM
74,1116,126787.000000,319291.000000,192504.000000,126787.000000,137868.500000,11081.500000,-181422.500000,LLM
75,1117,142461.000000,327973.000000,185512.000000,142541.000000,146981.600000,4440.600000,-181071.400000,LLM
76,1118,156203.000000,316963.000000,160760.000000,156203.000000,142405.200000,-13797.800000,-174557.800000,LLM
77,1119,134162.000000,260462.000000,126300.000000,134242.000000,141993.900000,7751.900000,-118548.100000,LLM
78,1120,134922.000000,176982.000000,42060.000000,134922.000000,141908.800000,6986.800000,-35073.200000,LLM
79,1121,126335.000000,277159.000000,150824.000000,126335.000000,135179.500000,8844.500000,-141979.500000,LLM
80,1122,158923.000000,317095.000000,158172.000000,158923.000000,125211.000000,-33712.000000,-191884.000000,LLM
81,1123,126739.000000,251239.000000,124500.000000,126739.000000,136683.800000,9944.800000,-114555.200000,LLM
82,1124,137772.000000,318428.000000,180656.000000,137772.000000,144975.700000,7203.700000,-173452.300000,LLM
83,1125,146822.000000,316282.000000,169460.000000,146822.000000,146837.900000,15.900000,-169444.100000,LLM
84,1126,143358.000000,179378.000000,36020.000000,143358.000000,149376.000000,6018.000000,-30002.000000,LLM
85,1127,136877.000000,162417.000000,25540.000000,136877.000000,141572.500000,4695.500000,-20844.500000,LLM
86,1128,131530.000000,273286.000000,141756.000000,131530.000000,140387.900000,8857.900000,-132898.100000,LLM
87,1129,130111.000000,265407.000000,135296.000000,130111.000000,138139.800000,8028.800000,-127267.200000,LLM
88,1130,140049.000000,276065.000000,136016.000000,140049.000000,147330.200000,7281.200000,-128734.800000,LLM
89,1131,142561.000000,256253.000000,113692.000000,142561.000000,150685.900000,8124.900000,-105567.100000,LLM
90,1132,141019.000000,166559.000000,25540.000000,141019.000000,145878.600000,4859.600000,-20680.400000,LLM
91,1133,137307.000000,262459.000000,125152.000000,137307.000000,145204.900000,7897.900000,-117254.100000,LLM
92,1134,151158.000000,310854.000000,159696.000000,151158.000000,158739.800000,7581.800000,-152114.200000,LLM
93,1135,140322.000000,261982.000000,121660.000000,140322.000000,147592.100000,7270.100000,-114389.900000,LLM
94,1136,135816.000000,186496.000000,50680.000000,135816.000000,143339.800000,7523.800000,-43156.200000,LLM
95,1137,131021.000000,249301.000000,118280.000000,131021.000000,138968.700000,7947.700000,-110332.300000,LLM
96,1138,138209.000000,188349.000000,50140.000000,138209.000000,145615.700000,7406.700000,-42733.300000,LLM
97,1139,124631.000000,269463.000000,144832.000000,124631.000000,135565.200000,10934.200000,-133897.800000,LLM
98,1140,127076.000000,242580.000000,115504.000000,127076.000000,135017.000000,7941.000000,-107563.000000,LLM
99,1141,126428.000000,271084.000000,144656.000000,126508.000000,133689.000000,7181.000000,-137475.000000,LLM
100,1142,135923.000000,243815.000000,107892.000000,135923.000000,144641.700000,8718.700000,-99173.300000,LLM
